trading_pair,date,open,high,low,close,volume
DOGE-USD,8/18/2021 20:00:00,0.2937,0.3192,0.3032,0.3176,466531914.1
DOGE-USD,8/17/2021 20:00:00,0.2783,0.326,0.2993,0.3031,887046305.6
DOGE-USD,8/16/2021 20:00:00,0.2942,0.34,0.3194,0.2993,772826988.2
DOGE-USD,8/15/2021 20:00:00,0.31,0.3519,0.3404,0.3194,919382770.8
DOGE-USD,8/14/2021 20:00:00,0.2875,0.35,0.2939,0.3403,1112193496
DOGE-USD,8/13/2021 20:00:00,0.276,0.2988,0.287,0.2939,562202841.7
DOGE-USD,8/12/2021 20:00:00,0.2616,0.2877,0.2642,0.287,483859802.7
DOGE-USD,8/11/2021 20:00:00,0.2516,0.2948,0.2646,0.264,745005518.7
DOGE-USD,8/10/2021 20:00:00,0.2565,0.2829,0.2576,0.2647,657443584.1
DOGE-USD,8/9/2021 20:00:00,0.2452,0.2633,0.2561,0.2575,456380783
DOGE-USD,8/8/2021 20:00:00,0.2302,0.267,0.24,0.2562,653554605.6
DOGE-USD,8/7/2021 20:00:00,0.2347,0.284,0.2622,0.24,951623526
DOGE-USD,8/6/2021 20:00:00,0.2036,0.2634,0.2049,0.2622,800423678.5
DOGE-USD,8/5/2021 20:00:00,0.1984,0.2121,0.2011,0.2049,180216995.9
DOGE-USD,8/4/2021 20:00:00,0.1944,0.2024,0.2015,0.201,128633579.9
DOGE-USD,8/3/2021 20:00:00,0.1943,0.2032,0.1963,0.2014,108608848.8
DOGE-USD,8/2/2021 20:00:00,0.1932,0.2051,0.2034,0.1962,135048499.9
DOGE-USD,8/1/2021 20:00:00,0.2016,0.2099,0.2043,0.2034,107019763.4
DOGE-USD,7/31/2021 20:00:00,0.201,0.2181,0.2079,0.2043,172196420.4
DOGE-USD,7/30/2021 20:00:00,0.205,0.2146,0.209,0.2079,108532677.2
DOGE-USD,7/29/2021 20:00:00,0.196,0.2107,0.2048,0.2089,168695117.4
DOGE-USD,7/28/2021 20:00:00,0.2004,0.2066,0.2057,0.2049,108692039.1
DOGE-USD,7/27/2021 20:00:00,0.2016,0.2138,0.2058,0.2059,186971251.7
DOGE-USD,7/26/2021 20:00:00,0.1952,0.2096,0.2039,0.2059,226006096.8
DOGE-USD,7/25/2021 20:00:00,0.1968,0.2332,0.1981,0.2039,626081630.9
DOGE-USD,7/24/2021 20:00:00,0.1912,0.2009,0.1971,0.1981,121896004
DOGE-USD,7/23/2021 20:00:00,0.1913,0.2046,0.1951,0.1971,165000795.3
DOGE-USD,7/22/2021 20:00:00,0.1832,0.1996,0.1913,0.195,144665301.8
DOGE-USD,7/21/2021 20:00:00,0.1863,0.1965,0.1906,0.1914,145232846.5
DOGE-USD,7/20/2021 20:00:00,0.1683,0.215,0.1706,0.1905,485064387.6
DOGE-USD,7/19/2021 20:00:00,0.16,0.18,0.1738,0.1706,218925708.2
DOGE-USD,7/18/2021 20:00:00,0.1704,0.1844,0.1817,0.1737,141656397.5
DOGE-USD,7/17/2021 20:00:00,0.1803,0.1963,0.1876,0.1817,140641638.8
DOGE-USD,7/16/2021 20:00:00,0.169,0.2059,0.1721,0.1876,283758045.1
DOGE-USD,7/15/2021 20:00:00,0.1711,0.1883,0.1853,0.1721,146625046
DOGE-USD,7/14/2021 20:00:00,0.1803,0.2008,0.1975,0.1853,123286255.7
DOGE-USD,7/13/2021 20:00:00,0.1874,0.2047,0.2,0.1976,140524632
DOGE-USD,7/12/2021 20:00:00,0.1975,0.2096,0.2078,0.2,95276373.8
DOGE-USD,7/11/2021 20:00:00,0.204,0.2191,0.216,0.2078,78345899.8
DOGE-USD,7/10/2021 20:00:00,0.2107,0.2192,0.2138,0.2159,47077254.7
DOGE-USD,7/9/2021 20:00:00,0.2099,0.228,0.2196,0.2139,95754193
